Provider Number,City,State,ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
450085,Graham,TX,76450,YOUNG,7 out of 10,2 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,7 out of 10,5 out of 9,7 out of 10,3 out of 10,0 out of 9,3 out of 10,8 out of 10,0 out of 9,8 out of 10,4 out of 10,0 out of 9,4 out of 10,59,20
450087,North Richland Hills,TX,76180,TARRANT,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,3 out of 10,2 out of 9,3 out of 10,2 out of 10,2 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,11,16
450090,Gainesville,TX,76240,COOKE,4 out of 10,5 out of 9,5 out of 10,4 out of 10,5 out of 9,5 out of 10,9 out of 10,9 out of 9,9 out of 10,7 out of 10,3 out of 9,7 out of 10,7 out of 10,8 out of 9,8 out of 10,3 out of 10,1 out of 9,3 out of 10,10 out of 10,9 out of 9,10 out of 10,3 out of 10,5 out of 9,5 out of 10,52,20
450092,Eagle Pass,TX,78852,MAVERICK,0 out of 10,1 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,2 out of 10,3 out of 9,3 out of 10,6 out of 10,6 out of 9,6 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,19,17
450097,Pasadena,TX,77504,HARRIS,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0,15
450099,Pampa,TX,79065,GRAY,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2,16
450101,Waco,TX,76712,MCLENNAN,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,7,15
450102,Tyler,TX,75701,SMITH,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,3 out of 9,3 out of 10,1 out of 10,1 out of 9,1 out of 10,5 out of 10,2 out of 9,5 out of 10,17,18
450104,Seguin,TX,78155,GUADALUPE,4 out of 10,4 out of 9,4 out of 10,4 out of 10,3 out of 9,4 out of 10,2 out of 10,2 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,2 out of 9,2 out of 10,8 out of 10,5 out of 9,8 out of 10,4 out of 10,4 out of 9,4 out of 10,4 out of 10,2 out of 9,4 out of 10,30,20
450107,El Paso,TX,79902,EL PASO,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,6,16
450108,Floresville,TX,78114,WILSON,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,0 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,17,18
450119,Edinburg,TX,78539,HIDALGO,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,3 out of 9,3 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,13,17
450124,Austin,TX,78701,TRAVIS,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,3 out of 9,3 out of 10,3 out of 10,3 out of 9,3 out of 10,11,17
450128,Weslaco,TX,78596,HIDALGO,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,1 out of 9,2 out of 10,4 out of 10,6 out of 9,6 out of 10,0 out of 10,1 out of 9,1 out of 10,13,17
450130,San Antonio,TX,78205,BEXAR,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3,13
450132,Odessa,TX,797607239,ECTOR,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,8,18
450133,Midland,TX,79701,MIDLAND,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0,13
450135,Fort Worth,TX,76104,TARRANT,4 out of 10,2 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,4 out of 10,2 out of 9,4 out of 10,4 out of 10,2 out of 9,4 out of 10,3 out of 10,2 out of 9,3 out of 10,2 out of 10,1 out of 9,2 out of 10,6 out of 10,4 out of 9,6 out of 10,5 out of 10,1 out of 9,5 out of 10,29,20
450137,Fort Worth,TX,76104,TARRANT,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,1 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,5 out of 10,0 out of 9,5 out of 10,19,19
450144,Andrews,TX,79714,ANDREWS,2 out of 10,3 out of 9,3 out of 10,2 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,2 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,17,11
450147,Victoria,TX,77902,VICTORIA,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,6 out of 10,4 out of 9,6 out of 10,4 out of 10,1 out of 9,4 out of 10,24,20
450148,Cleburne,TX,76031,JOHNSON,5 out of 10,0 out of 9,5 out of 10,2 out of 10,1 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,7 out of 10,4 out of 9,7 out of 10,5 out of 10,1 out of 9,5 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,1 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,32,20
450152,Killeen,TX,76542,BELL,2 out of 10,2 out of 9,2 out of 10,2 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,5 out of 10,2 out of 9,5 out of 10,5 out of 10,2 out of 9,5 out of 10,7 out of 10,7 out of 9,7 out of 10,1 out of 10,1 out of 9,1 out of 10,25,20
450154,Del Rio,TX,78840,VAL VERDE,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,3 out of 9,4 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,14,14
450155,Hereford,TX,79045,DEAF SMITH,0 out of 10,3 out of 9,3 out of 10,2 out of 10,1 out of 9,2 out of 10,5 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,7 out of 10,8 out of 9,8 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,21,16
450162,Lubbock,TX,79412,LUBBOCK,0 out of 10,0 out of 9,0 out of 10,7 out of 10,0 out of 9,7 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,5 out of 10,0 out of 9,5 out of 10,8 out of 10,0 out of 9,8 out of 10,3 out of 10,0 out of 9,3 out of 10,30,19
450163,Kingsville,TX,78363,KLEBERG,1 out of 10,1 out of 9,1 out of 10,6 out of 10,3 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,1 out of 9,3 out of 10,6 out of 10,4 out of 9,6 out of 10,4 out of 10,3 out of 9,4 out of 10,4 out of 10,6 out of 9,6 out of 10,0 out of 10,1 out of 9,1 out of 10,28,17
450165,Jourdanton,TX,78026,ATASCOSA,1 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,3 out of 9,3 out of 10,2 out of 10,1 out of 9,2 out of 10,10 out of 10,9 out of 9,10 out of 10,0 out of 10,1 out of 9,1 out of 10,20,17
450176,Mission,TX,78572,HIDALGO,3 out of 10,1 out of 9,3 out of 10,4 out of 10,1 out of 9,4 out of 10,3 out of 10,3 out of 9,3 out of 10,4 out of 10,2 out of 9,4 out of 10,4 out of 10,3 out of 9,4 out of 10,2 out of 10,1 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,4 out of 9,5 out of 10,27,20
450177,Uvalde,TX,78801,UVALDE,7 out of 10,4 out of 9,7 out of 10,7 out of 10,0 out of 9,7 out of 10,7 out of 10,5 out of 9,7 out of 10,9 out of 10,8 out of 9,9 out of 10,9 out of 10,1 out of 9,9 out of 10,4 out of 10,2 out of 9,4 out of 10,10 out of 10,9 out of 9,10 out of 10,5 out of 10,4 out of 9,5 out of 10,58,20
450178,Fort Stockton,TX,79735,PECOS,8 out of 10,7 out of 9,8 out of 10,10 out of 10,9 out of 9,10 out of 10,7 out of 10,5 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,6 out of 9,9 out of 10,6 out of 10,6 out of 9,6 out of 10,5 out of 10,1 out of 9,5 out of 10,65,20
450184,Houston,TX,77008,HARRIS,3 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,3 out of 10,3 out of 9,3 out of 10,1 out of 10,1 out of 9,1 out of 10,3 out of 10,1 out of 9,3 out of 10,2 out of 10,4 out of 9,4 out of 10,4 out of 10,3 out of 9,4 out of 10,21,18
450187,Brenham,TX,77833,WASHINGTON,2 out of 10,1 out of 9,2 out of 10,7 out of 10,5 out of 9,7 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,7 out of 10,6 out of 9,7 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,26,19
450188,Clarksville,TX,75426,RED RIVER,6 out of 10,6 out of 9,6 out of 10,6 out of 10,4 out of 9,6 out of 10,5 out of 10,5 out of 9,5 out of 10,2 out of 10,4 out of 9,4 out of 10,2 out of 10,1 out of 9,2 out of 10,5 out of 10,4 out of 9,5 out of 10,0 out of 10,6 out of 9,6 out of 10,0 out of 10,1 out of 9,1 out of 10,35,19
450192,Hillsboro,TX,76645,HILL,2 out of 10,2 out of 9,2 out of 10,10 out of 10,9 out of 9,10 out of 10,4 out of 10,3 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,0 out of 9,5 out of 10,5 out of 10,6 out of 9,6 out of 10,4 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,31,18
450193,Houston,TX,77030,HARRIS,1 out of 10,1 out of 9,1 out of 10,5 out of 10,5 out of 9,5 out of 10,2 out of 10,3 out of 9,3 out of 10,2 out of 10,3 out of 9,3 out of 10,3 out of 10,5 out of 9,5 out of 10,3 out of 10,4 out of 9,4 out of 10,0 out of 10,2 out of 9,2 out of 10,6 out of 10,5 out of 9,6 out of 10,29,18
450196,Paris,TX,75460,LAMAR,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0,11
450200,Texarkana,TX,75501,BOWIE,6 out of 10,6 out of 9,6 out of 10,3 out of 10,0 out of 9,3 out of 10,5 out of 10,5 out of 9,5 out of 10,3 out of 10,3 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,3 out of 10,3 out of 9,3 out of 10,7 out of 10,5 out of 9,7 out of 10,3 out of 10,2 out of 9,3 out of 10,34,20
450203,Weatherford,TX,76086,PARKER,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,4 out of 9,4 out of 10,6 out of 10,6 out of 9,6 out of 10,1 out of 10,3 out of 9,3 out of 10,22,18
450209,Amarillo,TX,79106,POTTER,1 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,5 out of 10,6 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,3 out of 9,3 out of 10,2 out of 10,2 out of 9,2 out of 10,18,18
450210,Carthage,TX,75633,PANOLA,3 out of 10,0 out of 9,3 out of 10,9 out of 10,8 out of 9,9 out of 10,4 out of 10,0 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,1 out of 9,5 out of 10,4 out of 10,7 out of 9,7 out of 10,0 out of 10,4 out of 9,4 out of 10,36,19
450211,Lufkin,TX,75901,ANGELINA,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,2 out of 9,3 out of 10,3 out of 10,2 out of 9,3 out of 10,4 out of 10,4 out of 9,4 out of 10,3 out of 10,1 out of 9,3 out of 10,15,18
450213,San Antonio,TX,782504493,BEXAR,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,1 out of 10,2 out of 9,2 out of 10,12,14
450219,Llano,TX,78643,LLANO,1 out of 10,1 out of 9,1 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,2 out of 9,6 out of 10,7 out of 10,6 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,4 out of 10,4 out of 9,4 out of 10,5 out of 10,3 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,43,18
450221,Dumas,TX,79029,MOORE,4 out of 10,0 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,6 out of 10,0 out of 9,6 out of 10,8 out of 10,0 out of 9,8 out of 10,3 out of 10,0 out of 9,3 out of 10,10 out of 10,9 out of 9,10 out of 10,2 out of 10,1 out of 9,2 out of 10,39,20
450222,Conroe,TX,77304,MONTGOMERY,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,5,16
450229,Abilene,TX,79601,TAYLOR,6 out of 10,3 out of 9,6 out of 10,6 out of 10,1 out of 9,6 out of 10,4 out of 10,2 out of 9,4 out of 10,4 out of 10,2 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,3 out of 9,5 out of 10,5 out of 10,4 out of 9,5 out of 10,6 out of 10,0 out of 9,6 out of 10,38,20
450231,Amarillo,TX,79106,POTTER,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,2 out of 9,4 out of 10,1 out of 10,3 out of 9,3 out of 10,5 out of 10,1 out of 9,5 out of 10,22,20
450236,Sulphur Springs,TX,75482,HOPKINS,6 out of 10,4 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,3 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,5 out of 10,5 out of 9,5 out of 10,5 out of 10,0 out of 9,5 out of 10,6 out of 10,7 out of 9,7 out of 10,3 out of 10,3 out of 9,3 out of 10,33,19
450237,San Antonio,TX,78207,BEXAR,2 out of 10,1 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,2 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,3 out of 10,2 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,15,19
450271,Decatur,TX,76234,WISE,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,5 out of 10,0 out of 9,5 out of 10,3 out of 10,1 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,5 out of 9,5 out of 10,5 out of 10,1 out of 9,5 out of 10,29,20
450272,San Marcos,TX,78666,HAYS,4 out of 10,4 out of 9,4 out of 10,2 out of 10,3 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,6 out of 10,5 out of 9,6 out of 10,3 out of 10,2 out of 9,3 out of 10,4 out of 10,2 out of 9,4 out of 10,6 out of 10,6 out of 9,6 out of 10,3 out of 10,2 out of 9,3 out of 10,33,20
450280,Garland,TX,75042,DALLAS,1 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,3 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,4 out of 10,4 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,14,18
450289,Houston,TX,77054,HARRIS,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,8,14
450292,Kaufman,TX,75142,KAUFMAN,7 out of 10,2 out of 9,7 out of 10,4 out of 10,1 out of 9,4 out of 10,6 out of 10,4 out of 9,6 out of 10,8 out of 10,8 out of 9,8 out of 10,10 out of 10,9 out of 9,10 out of 10,7 out of 10,4 out of 9,7 out of 10,5 out of 10,6 out of 9,6 out of 10,5 out of 10,4 out of 9,5 out of 10,53,20
450299,College Station,TX,77842,BRAZOS,2 out of 10,3 out of 9,3 out of 10,5 out of 10,1 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,4 out of 10,2 out of 9,4 out of 10,4 out of 10,6 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,7 out of 10,7 out of 9,7 out of 10,4 out of 10,2 out of 9,4 out of 10,32,20
450324,Denison,TX,75020,GRAYSON,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,6 out of 10,5 out of 9,6 out of 10,4 out of 10,0 out of 9,4 out of 10,17,19
450330,Richmond,TX,77469,FORT BEND,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,7,16
450340,San Angelo,TX,76904,TOM GREEN,5 out of 10,3 out of 9,5 out of 10,4 out of 10,0 out of 9,4 out of 10,5 out of 10,0 out of 9,5 out of 10,6 out of 10,4 out of 9,6 out of 10,9 out of 10,9 out of 9,9 out of 10,3 out of 10,0 out of 9,3 out of 10,8 out of 10,8 out of 9,8 out of 10,6 out of 10,2 out of 9,6 out of 10,46,20
450347,Huntsville,TX,77340,WALKER,0 out of 10,0 out of 9,0 out of 10,5 out of 10,0 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,9,12
450348,Marlin,TX,76661,FALLS,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,9 out of 9,9 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,62,18
450351,Stephenville,TX,76401,ERATH,8 out of 10,5 out of 9,8 out of 10,10 out of 10,0 out of 9,10 out of 10,7 out of 10,1 out of 9,7 out of 10,5 out of 10,0 out of 9,5 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,4 out of 9,6 out of 10,66,20
450352,Greenville,TX,75401,HUNT,3 out of 10,1 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,1 out of 9,4 out of 10,4 out of 10,2 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,17,17
450358,Houston,TX,77030,HARRIS,2 out of 10,0 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,1 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,5 out of 10,4 out of 9,5 out of 10,7 out of 10,0 out of 9,7 out of 10,26,20
450369,Childress,TX,79201,CHILDRESS,9 out of 10,8 out of 9,9 out of 10,10 out of 10,0 out of 9,10 out of 10,8 out of 10,0 out of 9,8 out of 10,4 out of 10,2 out of 9,4 out of 10,10 out of 10,9 out of 9,10 out of 10,5 out of 10,0 out of 9,5 out of 10,9 out of 10,8 out of 9,9 out of 10,7 out of 10,0 out of 9,7 out of 10,62,20
450370,Columbus,TX,78934,COLORADO,2 out of 10,0 out of 9,2 out of 10,6 out of 10,0 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,13,17
450372,Waxahachie,TX,75165,ELLIS,7 out of 10,5 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,3 out of 9,4 out of 10,8 out of 10,6 out of 9,8 out of 10,8 out of 10,7 out of 9,8 out of 10,7 out of 10,2 out of 9,7 out of 10,4 out of 10,4 out of 9,4 out of 10,4 out of 10,1 out of 9,4 out of 10,42,17
450373,Mount Vernon,TX,75457,FRANKLIN,9 out of 10,8 out of 9,9 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,79,20
450379,Dallas,TX,75234,DALLAS,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1,4
450388,San Antonio,TX,78229,BEXAR,0 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,3 out of 10,3 out of 9,3 out of 10,1 out of 10,2 out of 9,2 out of 10,3 out of 10,2 out of 9,3 out of 10,2 out of 10,2 out of 9,2 out of 10,16,17
